measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Luxembourg,Female,All Ages,Years,2017,70.42439743535238,73.71044408375684,66.79587173710601
HALE (Healthy life expectancy),Malta,Male,All Ages,Years,2017,68.67397262113764,71.2610859902573,65.60222499846174
HALE (Healthy life expectancy),Malta,Female,All Ages,Years,2017,70.90862961199984,73.87529875280103,67.41390521434896
HALE (Healthy life expectancy),Netherlands,Male,All Ages,Years,2017,69.55759423987078,72.19066850046552,66.59806221601175
HALE (Healthy life expectancy),Netherlands,Female,All Ages,Years,2017,70.69464495735251,73.85744534163605,67.20891979078152
HALE (Healthy life expectancy),Norway,Male,All Ages,Years,2017,69.27062477357626,71.9922375038214,66.15726653568005
HALE (Healthy life expectancy),Norway,Female,All Ages,Years,2017,71.14846419804856,74.27965266767781,67.4063387986956
HALE (Healthy life expectancy),Portugal,Male,All Ages,Years,2017,68.59539656824874,71.19560977450679,65.59513628215635
HALE (Healthy life expectancy),Portugal,Female,All Ages,Years,2017,71.57917625482001,74.72804784897433,67.99813928425476
HALE (Healthy life expectancy),Spain,Male,All Ages,Years,2017,70.47471819949716,72.93591819340129,67.70291985125304
HALE (Healthy life expectancy),Spain,Female,All Ages,Years,2017,73.61532678713891,76.70688463140594,70.0269280963434
HALE (Healthy life expectancy),Sweden,Male,All Ages,Years,2017,70.36547195700196,73.06555065894649,67.39140533702478
HALE (Healthy life expectancy),Sweden,Female,All Ages,Years,2017,71.44239235733211,74.62021808840146,67.82592662901115
HALE (Healthy life expectancy),Switzerland,Male,All Ages,Years,2017,71.19091649340514,73.97920445589331,68.07968415571304
HALE (Healthy life expectancy),Switzerland,Female,All Ages,Years,2017,72.66908664654639,75.94819360084068,68.9645371010343
HALE (Healthy life expectancy),United Kingdom,Male,All Ages,Years,2017,68.53582064342622,71.13778931279498,65.52524147453335
HALE (Healthy life expectancy),United Kingdom,Female,All Ages,Years,2017,70.04122722525034,73.09735513569612,66.46081429628693
HALE (Healthy life expectancy),Argentina,Male,All Ages,Years,2017,64.69032215268895,67.42753805992783,61.75850707977425
HALE (Healthy life expectancy),Argentina,Female,All Ages,Years,2017,68.90960345298102,71.81656492438998,65.72777331599319
