measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,1998,17728.958327628992,18946.09086540519,15754.508010348776
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,1998,18933.356330372066,20245.188301242804,17231.068392335394
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,1998,21678.145196593872,22946.363330336873,19562.875666050673
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,1998,23233.033280102176,24547.260741516984,21146.569882158612
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,1998,26325.30836310092,28015.67508695481,24084.05478656475
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,1998,31050.903437918478,32630.21728003893,28407.091333223038
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,1998,36749.52425390147,38652.6327150489,33430.83411005343
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,1998,43509.54525389487,46419.447584153095,39111.68059869348
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,1998,55127.35512015018,58054.551553426136,50050.52413947868
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,1998,85274.8003584908,90032.14762742895,76665.64417179064
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,1998,108971.13996659187,115197.48331803874,98452.78509424014
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,1998,140198.4066634627,147738.53540857608,129952.7600031712
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,1998,154198.9293803707,164032.562585487,144369.35491559564
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,2002,405284.7207548812,460181.7031345845,339410.341661306
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,2002,44910.91344054899,50172.22495968503,38016.47011665952
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,2002,20413.499977984775,22528.78642860962,17686.254059025712
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,2002,17002.83491935234,18323.86079974993,15492.876223302717
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,2002,18096.487688632787,19636.855557866504,16683.687198366755
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,2002,21091.070663207152,22446.02901893586,19270.654132716085
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,2002,23324.780796735067,24839.46431457953,21493.72916946095
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,2002,28005.773469251053,29860.50664926802,25853.381622070498
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,2002,32716.045888368055,34724.193273602854,30447.133261757375
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,2002,39479.182624119654,42041.453639131636,36699.26369447411
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,2002,50674.92125790973,54099.16428677193,46527.49657697203
