measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2006,19372.046065770763,31920.305596366434,12086.336387284628
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,2006,21354.905387003822,35314.23992965472,13115.518387696473
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,2006,22001.095782947592,37738.28101350255,13528.863872252736
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,2006,26661.069422337816,45686.35305417273,16478.3763855908
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,2006,31601.24846975059,54502.28715815672,19689.93930170394
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,2006,41453.87057952946,69643.1653925526,25927.189661480283
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,2006,64910.501405732386,107226.18806199597,40663.36766822744
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,2006,93103.709993367,156877.76003171408,59623.32761809441
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,2006,128184.58858908403,205741.72755110965,82541.78175758272
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,2006,134366.61579640835,216016.76837549987,87408.58727672533
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2010,355075.85657448595,418172.7741713562,297721.9422306525
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,2010,40550.648413324365,65822.79684060089,25566.955222599874
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,2010,19392.886899702888,31293.69205835979,12592.221805685203
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,2010,19499.501649317826,32775.3686532871,12256.635626211064
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,2010,20333.70571593988,33499.38753216839,12464.914040632446
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,2010,18246.638254556343,30890.268103403367,11207.106759815675
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2010,18764.966476696565,31566.752705932322,11815.680380299063
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,2010,20448.718654877768,33898.61124186404,12565.723515002848
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,2010,21863.60301966261,37197.263262070395,13210.082111936837
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,2010,25743.275786051883,44976.49976144278,15964.726557281827
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,2010,31806.357259968023,54872.8408848811,20092.549901319006
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,2010,42482.40704549514,70385.11560277811,26502.62819299244
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,2010,65727.87689176861,109663.15147969282,40991.78424410798
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,2010,88918.2232495672,150003.2322323098,55812.57419880957
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,2010,130140.67559353008,207434.52808750994,81736.0487099183
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,2010,144741.2698173901,231488.14805283578,93846.60266648364
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2014,238681.77285688254,275125.25953343604,202979.8802296797
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,2014,33780.53962276159,55031.10843616949,20775.19560392097
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,2014,15845.654190521345,26368.22963846577,9867.11064490226
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,2014,15628.509498812793,26160.5963061903,9746.841291399283
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,2014,16667.953593091224,27771.30939855156,10115.152749296376
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,2014,15827.6485319583,26900.623134804835,9583.755129765394
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2014,16795.454653496403,28866.75162870883,10264.031435557261
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,2014,18420.459130549014,31324.586868356004,11143.520642443147
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,2014,20591.942014963457,35115.68673987951,12117.463067118299
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,2014,24549.455833170574,43434.26836425505,15356.286341858544
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,2014,32804.0111860721,57992.586307413716,20593.617182029553
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,2014,42937.51579064626,72972.9096701332,26714.66715449801
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,2014,64860.954988781275,110855.75613655402,39895.490013243034
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,2014,87446.55587557763,146391.32958275324,53118.291081493815
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,2014,125726.03173863138,202557.12952841548,76256.21766292189
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,2014,136436.32743857417,218845.5811591861,85001.88385866664
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,1995,617583.0990868991,739566.8125867761,496369.295086266
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,1995,56734.134109737635,87944.27747854438,31376.022731815316
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,1995,23152.654823340123,36877.75351519234,13967.710154244713
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,1995,22067.170432817435,36117.639529532134,12895.028805606813
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,1995,22655.816724463668,36887.676511636164,12939.198369515723
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,1995,20776.68796887016,33743.1095549763,11956.375750469053
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,1995,20897.932072781125,33730.21996229689,11873.005866313119
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,1995,21823.192158897404,35825.408643418115,13037.74598960991
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,1995,23430.407079716213,39360.49550867944,13673.281917054897
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,1995,27204.49928004746,45266.74880193064,16053.071438361043
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,1995,33496.06983141403,56125.8199620122,19993.316507647625
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,1995,45889.15707062865,75456.54094987446,28027.351080561515
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,1995,71479.54226597594,117483.14400784028,42979.813368798736
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,1995,92725.4526725985,152164.4654777196,58178.15543245599
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,1995,111925.85723053699,177042.0603553946,70826.6408701216
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,1995,111765.23953815358,177291.3874708652,71730.49828230253
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,1999,532450.6850294296,629454.2817918911,427769.7319504615
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,1999,50312.46326842987,79508.36394727032,28577.724072738114
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,1999,23443.414382906678,37850.95119418374,14481.9699013589
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,1999,23012.42673205187,37727.00168385876,13786.919652026945
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,1999,23373.6450392014,38610.816308155685,13381.041306153209
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,1999,21489.756507231006,35307.07703553234,12525.865402702817
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,1999,21559.774742098376,34907.89271576129,12361.276733965342
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,1999,22707.208746152664,37524.62855420209,13462.412589738597
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,1999,23353.153327965203,39873.07784673615,13787.578979304937
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,1999,28281.89458570265,47594.19266776298,17053.964771032122
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,1999,32686.140486462467,54598.885211824374,19954.100299679
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,1999,44098.052469535156,73395.16805231177,27851.399288286466
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,1999,69788.43115192823,115602.11831440937,42728.66076964412
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,1999,96177.48311340717,158329.7232350658,60244.12896826435
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,1999,120329.6875384404,191417.41076732,76160.4953915954
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,1999,117558.75712176083,189087.46665551374,74747.6951110716
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2003,442647.3279706408,519587.54663224454,361864.3774834067
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,2003,42900.05019742781,68739.1997479376,26287.32924298684
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,2003,20883.830892371476,34256.1811244363,13454.024678497706
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,2003,22063.8158917402,36686.211528930784,13625.813400802917
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,2003,21897.40536572151,35786.352587830464,13115.40620919012
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,2003,20442.741549311093,33518.45160809012,12017.197154348596
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2003,20163.153738705958,32737.62732014877,12009.305449455069
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,2003,22273.06765467017,37089.946232224866,13395.1785788426
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,2003,22188.361718658176,38226.61645940458,13341.118788262815
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,2003,26871.548703500193,46122.244119874704,16374.135085105263
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,2003,32664.020097669898,54932.032179829504,20360.999634861706
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,2003,41719.552277139526,69147.37635969272,26127.93957457594
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,2003,66393.26471083124,112447.23201455653,41351.985043361885
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,2003,95608.45190639884,161021.60904891172,61142.53666226401
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,2003,126996.72214377284,203037.50104600255,81063.56257560596
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,2003,126492.83346496192,205298.93349407037,82156.93309726703
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2007,388882.4579181386,457414.4319605725,326445.28925183613
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,2007,41252.511428733065,66285.37331770922,25879.53746550604
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,2007,19940.798891040387,32588.000789147187,12966.427739037683
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,2007,20194.612097538073,33778.979862748696,12531.062202646559
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,2007,21358.5941047676,35161.40822951088,12866.232533333836
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,2007,18916.346611844885,31403.00347421557,11354.62961118221
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2007,19114.97365472534,31454.285596139813,11982.156591897085
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,2007,21166.358864722395,35024.81597412026,13006.17384396951
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,2007,21995.276474213657,37667.0217066848,13499.463727861457
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,2007,26449.163227727433,45377.841691309695,16330.98181576764
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,2007,31560.15420780633,54331.35553907284,19549.900775726746
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,2007,41729.07801256728,69936.20335427106,26274.327037299834
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,2007,65371.83783513864,108573.82187963964,41001.45864298205
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,2007,92238.81868884405,155283.64136181684,58625.52708419505
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,2007,128874.61334779033,205267.39142949815,82564.98605010229
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,2007,136790.9657106933,219369.37867875214,88714.4403111729
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2011,317137.89248072426,368168.6141026287,271671.9577792886
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,2011,39501.62519070628,63999.29084529601,24966.406043850806
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,2011,19192.531439210892,31356.913102595427,12349.031582623385
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,2011,18952.280512863403,31880.17461966433,11908.588724953806
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,2011,19614.20087042064,32565.67209610513,12085.36806968622
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,2011,17884.00443097991,30323.442299524115,11031.38948633425
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2011,18411.87356204758,31206.990842079926,11370.758130626273
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,2011,19996.71102920599,33200.43244670632,12280.503147830292
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,2011,21532.542834072912,37059.019979099125,12936.482929790396
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,2011,25363.4443581755,44383.382762576635,15735.456380003061
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,2011,31905.02021214633,55449.90265614009,20079.81452019405
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,2011,41820.97166245495,69836.05211381556,26264.161455912857
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,2011,66007.34278411772,110541.21272302042,41124.70942562539
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,2011,87960.85004950684,148193.26514065565,54469.84922544682
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,2011,128016.46712969456,204877.97389716486,80486.08922231563
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,2011,143742.29708365703,229700.7133875741,92400.26128270203
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,2015,220728.29127098256,255614.3884220514,188384.63664373712
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,2015,30885.221353883517,50192.294004827774,19028.421844012075
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,2015,14467.43694691691,24234.049080765442,8922.263193603641
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,2015,14397.283683512305,24077.799411629636,8880.232053703283
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,2015,15798.660678903776,26529.640352378847,9578.789869482118
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,2015,15071.792923782425,25575.646923844473,9133.88377691716
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,2015,16306.629479213583,27918.743026384513,9911.15976012425
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,2015,18097.606831805067,30638.812654712354,10921.266274772868
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,2015,20546.55603315433,34897.80219271611,12200.620746809163
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,2015,24540.021581697554,43356.40006343728,15259.940609199872
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,2015,33471.00889797513,59237.954649035215,21197.420400310402
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,2015,43654.56236657195,74053.96455291957,27075.928101758058
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,2015,65007.759506255075,111350.71426611891,39643.40956600823
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,2015,86548.9415436081,141784.31322260664,52116.9792992824
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,2015,125430.35316350019,203659.62855647388,75361.03976987467
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,2015,134524.59831652296,216560.76165578648,82610.81852764383
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,1992,658243.3343878023,781459.1741643043,529576.6970557988
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,1992,64636.317502119986,99621.81933581497,34257.82432625661
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,1992,23926.557875274808,37924.81005456373,13817.424088988806
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,1992,23489.3236943678,38415.382150578786,13294.85882625645
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,1992,23044.651063206133,37830.80079725078,12981.491581710728
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,1992,20162.760755483043,33007.72641120726,11193.364386696094
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,1992,20274.870184569838,33281.66649152633,11519.655632525179
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,1992,21235.45151919736,34874.3667292789,12427.685993842855
