"id","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"BRA",19.6845,19.515,19.1747,18.8321,18.4872,18.1401,17.791,17.4403,17.0884,16.7366,16.386,16.0378,15.6932,15.3527,15.0161,14.6826,14.351,14.0195,13.6862,13.3502,13.0108,12.668,12.3224,11.974,11.6224,11.2666,10.9059,10.5399,10.1683,9.7915,9.4083,9.0172,8.6195,8.2178,7.8159,7.4175,7.0263,6.6465,6.2828,5.9394,5.6216,5.3332,5.0739,4.842,4.6358,4.4537,4.2937,4.1506,4.018,3.8899,3.7584,3.6163,3.4615,3.2938,3.1144,2.9271,2.738,2.555,2.3849,2.2313,2.0966,1.9811,1.8813,1.7938,1.7171,1.65
"BRN",11.8983,11.7347,11.3919,11.0179,10.6126,10.1768,9.7127,9.2238,8.7169,8.2032,7.6962,7.2104,6.7602,6.3564,6.0031,5.6989,5.4364,5.2006,4.9787,4.7646,4.5546,4.3482,4.1486,3.9582,3.7763,3.6025,3.4365,3.2783,3.1274,2.9834,2.846,2.7148,2.5899,2.4707,2.3571,2.2485,2.1449,2.046,1.9518,1.8617,1.7757,1.6936,1.6153,1.5407,1.4695,1.4015,1.3367,1.275,1.2162,1.1601,1.106,1.0532,1.0016,0.9518,0.9044,0.8619,0.8268,0.8006,0.7834,0.7741,0.7702,0.7684,0.7651,0.7578,0.7454,0.728
"BTN",36.762,36.5917,36.2434,35.8799,35.501,35.1065,34.6954,34.2665,33.8174,33.3441,32.8419,32.3067,31.7353,31.1277,30.4875,29.8195,29.1296,28.4277,27.7244,27.0282,26.351,25.7026,25.0832,24.4891,23.9152,23.349,22.7739,22.1767,21.5497,20.8919,20.2092,19.5128,18.8185,18.1394,17.4812,16.8458,16.2305,15.6282,15.0339,14.4474,13.8729,13.3169,12.7819,12.2663,11.7646,11.2621,10.7409,10.1908,9.6097,9.003,8.3853,7.777,7.2003,6.6724,6.2011,5.7883,5.4285,5.1069,4.8109,4.5358,4.2789,4.0405,3.8229,3.6266,3.4494,3.2891
"BWA",20.9086,20.7039,20.2978,19.8983,19.5056,19.1197,18.7414,18.371,18.0095,17.6591,17.3216,16.9982,16.6887,16.3903,16.0972,15.8007,15.4912,15.1608,14.8038,14.4173,13.998,13.5453,13.0667,12.5724,12.0711,11.5718,11.0827,10.6109,10.1643,9.7505,9.3753,9.0413,8.7462,8.4887,8.27,8.0888,7.9422,7.8292,7.7509,7.7111,7.7271,7.8208,7.9969,8.2461,8.5477,8.8715,9.1817,9.441,9.6163,9.6849,9.6238,9.4207,9.095,8.6732,8.1767,7.6343,7.0765,6.5309,6.0216,5.5659,5.1729,4.8404,4.5509,4.29,4.0541,3.8414
"CAF",35.003,34.7616,34.2823,33.8099,33.3445,32.8861,32.4346,31.9891,31.5484,31.1109,30.6739,30.234,29.7862,29.3247,28.843,28.3314,27.7804,27.1878,26.5556,25.8874,25.1862,24.4559,23.7092,22.9623,22.2313,21.5326,20.88,20.2816,19.7447,19.2774,18.8863,18.5735,18.3315,18.1514,18.0272,17.9545,17.9294,17.9452,17.9932,18.0634,18.1478,18.2412,18.3396,18.4376,18.5273,18.6034,18.6633,18.7063,18.7297,18.7281,18.6968,18.6324,18.5332,18.397,18.2211,17.9997,17.7273,17.4053,17.0389,16.6349,16.2007,15.7447,15.2774,14.8105,14.3543,13.9192
"CAN",4.75,4.6739,4.522,4.3713,4.2215,4.0729,3.9254,3.7793,3.6349,3.4927,3.3535,3.218,3.0868,2.9603,2.8388,2.722,2.6097,2.5009,2.3949,2.2911,2.1891,2.0883,1.9888,1.8907,1.7943,1.6993,1.6057,1.514,1.4251,1.34,1.2603,1.188,1.1237,1.0678,1.0198,0.9788,0.9431,0.9108,0.8801,0.85,0.82,0.79,0.761,0.7338,0.7087,0.6863,0.6672,0.6515,0.6392,0.63,0.6233,0.6185,0.6147,0.6111,0.6071,0.6021,0.596,0.5888,0.5809,0.5723,0.5633,0.5543,0.5456,0.5374,0.5296,0.5217
"CHE",3.9314,3.8326,3.6436,3.4719,3.3174,3.1801,3.0592,2.9537,2.8618,2.7801,2.7047,2.6316,2.5566,2.4766,2.3902,2.2988,2.2055,2.1145,2.0285,1.9476,1.8696,1.7907,1.7079,1.6197,1.527,1.4325,1.3402,1.2545,1.1788,1.1144,1.062,1.0209,0.9881,0.9607,0.937,0.9155,0.8952,0.8756,0.8561,0.8356,0.8129,0.7871,0.7584,0.7275,0.6954,0.6636,0.6343,0.6089,0.5885,0.5731,0.562,0.5537,0.5462,0.538,0.5284,0.5174,0.5054,0.4936,0.4824,0.4721,0.4624,0.4528,0.4428,0.4322,0.4209,0.409
"CHL",16.1666,16.1112,15.9901,15.8483,15.6859,15.5025,15.2967,15.0671,14.8108,14.5224,14.1962,13.827,13.4111,12.9485,12.4442,11.9069,11.3475,10.7787,10.2113,9.6527,9.1058,8.5692,8.0371,7.5064,6.9783,6.4513,5.9232,5.397,4.8798,4.3804,3.9135,3.4948,3.1329,2.8318,2.5909,2.4045,2.2621,2.1475,2.0465,1.9511,1.8562,1.7614,1.6714,1.5891,1.5137,1.4437,1.378,1.316,1.2573,1.202,1.1507,1.1047,1.0653,1.0327,1.0066,0.9862,0.9706,0.9579,0.9465,0.9349,0.9218,0.906,0.8877,0.8671,0.8442,0.8194
"CHN",21.0754,20.8788,20.5464,20.3354,20.2459,20.2734,20.4027,20.6131,20.8645,21.0871,21.2013,21.1267,20.7892,20.1496,19.2177,18.0444,16.7165,15.3539,14.0595,12.8891,11.8759,11.0197,10.2741,9.6005,8.9909,8.4367,7.9306,7.4694,7.0503,6.6707,6.3342,6.0484,5.818,5.6423,5.515,5.4277,5.3706,5.3311,5.2964,5.256,5.2021,5.131,5.0446,4.9435,4.825,4.6854,4.5216,4.335,4.1287,3.9058,3.6696,3.4236,3.1732,2.9246,2.6837,2.4557,2.2443,2.0503,1.8748,1.7195,1.5866,1.4774,1.3897,1.3203,1.2664,1.2247
"CIV",40.8037,40.4717,39.7815,39.0388,38.2438,37.3968,36.4994,35.555,34.5695,33.5523,32.5155,31.4729,30.4398,29.4301,28.4543,27.5185,26.6229,25.7604,24.9256,24.1183,23.337,22.5797,21.8467,21.1397,20.4613,19.8158,19.2074,18.6403,18.1178,17.6421,17.2163,16.8421,16.5168,16.2357,15.9944,15.7891,15.6164,15.4711,15.3462,15.2347,15.1311,15.0324,14.9364,14.8391,14.7346,14.6156,14.4758,14.3138,14.1301,13.9256,13.7065,13.4817,13.258,13.0383,12.8205,12.597,12.3566,12.0889,11.7879,11.453,11.0847,10.6866,10.2699,9.8472,9.4291,9.0273
